Geography	Sector	Description	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	(blank)
Canada	Not Creative	Non-metallic mineral mining and quarrying	25067	24758	24642	24850	25158	25558	25775	25858	26008	25867	
Canada	Not Creative	Non-residential building construction	70983	71400	71950	72742	73383	74758	75917	77242	77683	77275	
Canada	Not Creative	Non-scheduled air transportation	10475	10617	10717	10992	11408	11967	12425	12858	12808	12775	
Canada	Not Creative	Office administrative services	6200	6050	5983	5592	5367	5492	5800	5883	6125	6233	
Canada	Not Creative	Office furniture (including fixtures) manufacturing	15258	15800	16308	16917	17625	17992	18150	18208	17917	17892	
Canada	Not Creative	"Office supplies, stationery and gift stores"	40692	39792	39258	38517	37950	36542	36117	35750	35292	35158	
Canada	Not Creative	Offices of dentists	104583	105917	107025	108117	109250	109583	109800	109817	110500	111017	
Canada	Not Creative	Offices of other health practitioners	105808	105883	105750	104125	103308	102992	102558	103033	103825	105200	
Canada	Not Creative	Offices of physicians	134817	135450	138050	139533	140850	141617	141700	141225	139467	138333	
Canada	Not Creative	Offices of real estate agents and brokers	109483	108050	106975	104792	102483	101442	101067	102000	102450	103225	
Canada	Not Creative	Oil and gas extraction	90125	90092	90500	90900	91342	91525	91542	90833	90700	91117	
Canada	Not Creative	Oilseed and grain farming	49367	48725	48092	47317	46558	45850	45008	44458	43200	41917	
Canada	Not Creative	Other ambulatory health care services	33008	32808	33000	32983	33033	33117	33075	33367	34050	34950	
Canada	Not Creative	Other amusement and recreation industries	181883	181875	181983	182500	182142	183533	184242	185758	185433	184917	
Canada	Not Creative	Other animal production	31233	30667	30083	30108	31033	31475	31700	32058	32500	32683	
Canada	Not Creative	Other chemical product manufacturing	10583	10800	11200	11192	11300	11375	11417	11683	11717	11775	
Canada	Not Creative	Other crop farming	27925	28392	28692	28775	29067	29633	30008	30483	31100	30983	
Canada	Not Creative	Other electrical equipment and component manufacturing	14492	14000	13400	12658	12250	11875	11542	11008	10550	10175	
Canada	Not Creative	Other fabricated metal product manufacturing	22375	21683	21725	22325	22875	23500	24258	24550	25133	25250	
Canada	Not Creative	Other financial investment activities	90150	89108	89117	89317	90708	92283	93683	93408	92300	91850	
Canada	Not Creative	Other food manufacturing	41133	41025	40817	41108	40892	40650	40600	41058	41408	41208	
Canada	Not Creative	Other funds and financial vehicles	2633	2667	2586	2563	2478	2380	2322	2325	2238	2286	
Canada	Not Creative	Other general merchandise stores	132075	133158	134717	135633	137117	138983	139308	138967	138875	139717	
Canada	Not Creative	Other general-purpose machinery manufacturing	20000	19617	19208	18925	18758	18942	19308	20183	21125	22083	
Canada	Not Creative	Other heavy and civil engineering construction	8817	9067	9317	9500	9600	9942	9850	10033	9883	9942	
Canada	Not Creative	Other information services	37142	37150	37142	37008	36858	36800	36583	36358	36108	36158	
Canada	Not Creative	Other leather and allied product manufacturing	2740	3200	3357	3338	3544	3480	3300	3300	3430	3600	
Canada	Not Creative	"Other machinery, equipment and supplies merchant wholesalers"	56083	55642	54608	53758	53567	53217	53108	52242	52567	53683	
Canada	Not Creative	Other miscellaneous merchant wholesalers	39975	39300	38517	38225	37258	37200	36717	36758	36575	36600	
Canada	Not Creative	Other miscellaneous store retailers	62200	62417	63058	63050	63125	63400	63808	65042	64808	65533	
Canada	Not Creative	Other motor vehicle dealers	23783	23208	22283	21667	21267	20883	20592	20408	20000	19133	
Canada	Not Creative	Other pipeline transportation											
Canada	Not Creative	Other specialty trade contractors	93667	93917	94433	95400	96625	96333	96925	98575	100875	103450	
Canada	Not Creative	Other support activities for transportation	1900	1900	1900	1900	1900	1900	1950	1950	1950	2000	
Canada	Not Creative	Other support services	28592	29125	29408	30133	30550	30733	30633	30383	30817	31492	
Canada	Not Creative	Other telecommunications	8042	8067	7925	7817	7275	6733	6350	5808	5367	4817	
Canada	Not Creative	Other textile product mills	10142	9900	9933	10033	9983	9350	9417	9383	9275	9342	
Canada	Not Creative	Other transit and ground passenger transportation	6575	6350	5783	5550	5267	5175	5350	5425	5717	5783	
Canada	Not Creative	Other transportation equipment manufacturing	4755	4409	4055	3845	3345	3118	3164	3236	3600	4073	
Canada	Not Creative	Other wood product manufacturing	88392	87875	87608	86683	88117	87625	87392	86667	85775	85133	
Canada	Not Creative	Out-patient care centres	35267	35675	35250	35475	35250	35167	34892	35633	37158	38642	
Canada	Not Creative	"Paint, coating and adhesive manufacturing"	9342	9075	8842	8367	8067	8133	8092	7750	7758	7658	
Canada	Not Creative	"Paper, paper product and disposable plastic product merchant wholesalers"	10400	10725	10667	10692	10583	10067	9817	9642	9408	9308	
Canada	Not Creative	Pension funds	2644	2780	2873	2958	3025	3283	3483	3517	3575	3792	
Canada	Not Creative	Personal and household goods repair and maintenance	35250	35058	34783	35042	35742	35692	36008	36450	36142	35975	
Canada	Not Creative	Personal care services	167392	167442	167633	167600	167758	168208	168042	168125	167025	166575	
Canada	Not Creative	Personal goods merchant wholesalers	19733	20600	21633	22158	22533	22550	22183	21742	21108	20408	
Canada	Not Creative	"Pesticide, fertilizer and other agricultural chemical manufacturing"	6808	6900	7042	7083	7042	6892	6608	6267	5967	5642	
Canada	Not Creative	Petroleum and coal product manufacturing	18175	17358	17092	16608	15917	15100	13950	13417	13200	12750	
